Route-name;Routenumber;node;Reference;name in text;millia passum;Leuga;Pleiades nr.;modern name;Lat;Long
Lugdunume aut per conpendium;1;a;358.5/359.1;Lugdunum;23 / 16 (misschien slaat 16 m.p. toch op Leuga);16?;167717;Lyon;45.758866;4.8194815
;1;b;359.2;Asa Paulini;15;10;167657;Anse-sur-Saône;45.936105;4.718192
;1;c;359.3;Lunna;15;10;167819;Belleville-sur-Saône;46.094027;4.740069
;1;d;359.4;Matiscone;15;10;177577;Mâcon;46.306773;4.8301975
;1;e;359.5;Tinurtium;19;13;177641;Tournus;46.565714;4.908721
;1;f;360.1;Gabilunnum;21;14;177485;Chalon-sur-Saône;46.783372;4.8560145
;1;g;360.2;Augustodunum;33;22;177460;Autun;46.94724;4.2991775
;1;h;360.3;Sidoloucum;27;18;177635;Saulieu?;47.279606;4.229354
;1;i;360.4;Aballone;24;16;177427;Avallon;47.492513;3.907961
;1;j;361.1;Autesiodor;33;22;138206;Auxerre;47.7978475;3.573539
;1;k;361.2;Eburobrica;18;12;177512;Avrolles;48.00499912;3.684937734
;1;l;361.3;Tricasis;33;22;108775;Troyes;48.297473;4.074806
;1;m;361.4;Artiaca;18;12;108759;Arcis-sur-Aube;48.536498;4.141862
;1;n;361.5;Duracatelaunos;33;22;108944;Châlons-sur-Marne;48.9551605;4.3606545
;1;o;362.1;Durocortoro;27;18;108945;Reims;49.2539525;4.0332025
;1;p;362.2;Suessonas;37;25;109356;?;?;?
;1;q;362.3;Noviomago;27;18;109218;Noyon;49.5805595;3.001804
;1;r;362.4;Ambianis;34;23;109321;Amiens - see also Ihm 1894, REI.1-2, pp. 1797-8;49.8936075;2.297948
;1;s;363.1;Pontibus;36;24;109255;Ponches? - see also Goessler 1953, RE XII.1, p.19;50.310478;1.895574
;1;t;363.2;Gesoriaco;39;26;109008;Boulogne;50.72567467;1.614831667
Item a Cavilluno Triveros;2;a;363.3;;;;;;;
Item a Cavilluno Triveros;2;b;363.3;;;;;;;
Item a Durocortoro Divodorum usque;3;a;363.4-5;Durocortoro;74;;108945;Reims;49.2539525;4.0332025
;3;b;364.1;Basilia;10;;108792;Grand St. Hilaire - Ihm 1897, REIII.1, p.43 suggests Grand St. Hilaire cf. Walckenaer;49.170668;4.463465
;3;c;364.2;Axuena;12;;114767;Vienne-la-Ville?;49.166873;4.859592
;3;d;364.3;Virodunum;17;;109435;Verdun;49.1592415;5.383154
;3;e;364.4;Fines;9;;114780;?Marcheville or Mars-la-Tour?;?;?
;3;f;364.5;Ibliodurum;6;;109060;Vionville/St-Marcel;49.09189;5.946934
;3;g;364.6;Divodurum;8;;108927;Metz;49.1181355;6.1741555
Alio itinere a Durocortoro Divodurum usque;4;a;364.7-8;Durocortoro;87;;108945;Reims;49.2539525;4.0332025
;4;b;364.9;Fano Minervae;14;;114779;?La Cheppe? Bucy-le-Château/Courtisols?;?;?
;4;c;365.1;Ariola;16;;114766;?;?;?
;4;d;365.2;Caturicis;9;;108872;Bar-le-Duc;48.773706;5.160545
;4;e;365.3;Nasium;9;;109190;St-Amand-sur-Ornain/Naix;48.63249494;5.386603708
;4;f;365.4;Tullum;16;;109396;Toul;48.679364;5.8947805
;4;g;365.5;Scarponna;10;;109329;Dieulouard;48.847202;6.075221
;4;h;365.6;Dividorum;12;;108927;Metz;49.1181355;6.1741555
