Ref;Description;Text;type;comment;Pleiades;Lat;Lng
IV.107;Secusiani liberi;Secusiani liberi;tribe;free tribe - here Pleiades links the Segusiavi to the town of Forum Segusiavorum, whose coordinates are used here ;167771;45.743773;4.222007
IV.107;Colonia Lugdunum;Colonia Lugdunum;city;;167717;45.758866;4.8194815
IV.106;colonia Equestris;Colonia Equestris;city;;177496;46.380843;6.238405
IV.107;Boi;Boii;tribe;;138233;46.5;3.5
IV.106;Helveti;Helveti;tribe;;177534;46.5;6.5
IV.107;Turones;Turones;tribe;;138629;46.5;0.5
IV.107;Aedui foederati;Aedui foederati;tribe;federated tribe;177533;46.7249565;4.388477167
IV.107;Andicavi;Andicavi;tribe;;138179;47.5;-0.5
IV.107;Namnetes;Namnetes;tribe;;138480;47.5;-1.5
IV.106;colonia Raurica;Colonia Raurica;city;;177494;47.533241;7.722118
IV.107;Venetos;Veneti;tribe;in Pleiades the city of Darioritum is used as the location of the Veneti;138323;47.654797;-2.75957
IV.106;Sequani;Sequani;tribe;;167922;47.7018263;6.0421883
IV.106;Lingones foederati;Lingones foederati;tribe;federated tribe;177564;47.864221;5.335214
IV.107;Carnuteni foederati;Carnuteni foederati;tribe;federated tribe, as Carnutes;108860;47.9007265;1.9068675
IV.107;Cenomani;Cenomani;tribe;Pleiades situates the location on Le Mans;138204;48.00716033;0.198493333
IV.107;Rhedones;Rhedones;tribe;As tribe unlocated by Pleiades (283851546), here the supposed chief town (Condate Redonum - 69491) is used;283851546;48.1112055;-1.6818915
IV.107;Diablinti;Diablinti;tribe;here Pleiades 69539 (Noiodounon Diablintum) is used ;69539;48.256714;-0.4965786
IV.107;Ossismos;Ossismi;tribe;as Osismii;69547;48.276532;-3.571121
IV.107;Tricasses;Tricasses;tribe;;109392;48.297473;4.074806
IV.107;Coriosvelites;Coriosvelites;tribe;as Coriosolites (138310 - note that Pleiades places its centroid in the ocean) - here the location and number of the Civitas Coriosolitum is used (69507);69507;48.481251;-2.1680285
IV.107;Aulerci;Aulerci (Eburovices / Cenomani - tribes);tribe;;69472;48.5;-0.5
IV.107;Eburovices;Eburovices;tribe;;108953;48.5;0.5
IV.106;Leuci liberi;Leuci libero;tribe;free tribe;109106;48.5;5.5
IV.107;Senones;Senones;tribe;;109337;48.5;2.5
IV.106;Triboci;Triboci;tribe;;109391;48.5;7.5
IV.107;Abrincatuos;Abrincatui;tribe;in Pleiades as Ingena/Abrincas;69518;48.684527;-1.356400333
IV.107;Parisi;Parisi;tribe;;109242;48.8544055;2.346168
IV.106;Mediomatrici;Mediomatrici;tribe;;109154;49.1181355;6.1741555
IV.106;Ulmanectes liberi ;Ulmanectes liberi ;tribe;free tribe, also identified with Silvanectes and Ulbanectes;109345;49.2051355;2.585975
IV.106;Remi foederati;Remi foederati;tribe;federated tribe;109275;49.2539525;4.0332025
IV.106;Bellovaci;Bellovaci;tribe;;108803;49.4304035;2.081041
IV.107;Bodiocasses;Bodiocasses;tribe;Pleiades locates the tribe in the sea - unlocated;69475;49.5;-0.5
IV.106;Catoslugi;Catoslugi;tribe;;108870;49.5;1.5
IV.106;Nemetes;Nemetes;tribe;;109196;49.5;7.5
IV.106;Suessiones liberi;Suessiones liberi;tribe;free tribe;109356;49.5;2.5
IV.107;Veliocasses;Veliocasses;tribe;;109412;49.5;0.5
IV.107;Venelli;Venelli;tribe;;69582;49.5;-1.5
IV.106;Veromandui (tribe);Veromandui/Viromandui;tribe;;109437;49.5;3.5
IV.107;Viducasses;Viducasses;tribe;Pleiades locates the tribe in the sea - unlocated;69583;49.5;-0.5
IV.107;Galetos;Galeti;tribe;as Caletes;108847;49.5196055;0.53567465
IV.106;Treveri liberi antea;Treveri liberi antea;tribe;formerly free tribe;109390;49.75356589;6.380016928
IV.106;Ambiani;Ambiani;tribe;;108740;49.8936075;2.297948
IV.106;Vangiones;Vangiones;tribe;;109410;49.998912;8.273869
IV.106;Nervi liberi;Nervii;tribe;free tribe;109199;50.23647525;3.5133485
IV.106;Artebates;Artebates;tribe;;108764;50.2927655;2.778586
IV.106;Menapi;Menapi;tribe;;109156;50.5;3.5
IV.106;Morini;Morini;tribe;;109177;50.5;1.5
IV.106;Sunuci;Sunuci;tribe;;109358;50.5;6.5
IV.106;Tungri;Tungri;tribe;;109397;50.5;5.5
IV.106;colonia Agrippinensis;Colonia Agrippinensis;city;Location for the Ubii and the colony Agrippinensium is the same in Pleiades;108751;50.940662;6.9599065
IV.106;Ubii;Ubii;tribe;Location for the Ubii and the colony Agrippinensium is the same in Pleiades;109400;50.940662;6.9599065
IV.106;Baetasi;Baetasi;tribe;;108787;51.5;5.5
IV.106;Frisiavones;Frisiavones;tribe;;108996;51.5;4.5
IV.106;Guberni;Guberni;tribe;as Cugerni;108914;51.5;6.5
IV.106;Oromarsaci iuncti pago qui Chersiacus vocatur;Oromarsaci;tribe;The Oromarsaci next to the district calles Chersiacus - here interpreted as Marsaci;109143;51.5;3.5
IV.106;Texuandri;Texuandri;tribe;as Toxiandria;109385;51.5;5.5
IV.106;Batavi;Batavi;tribe;here the location of Batavodurum in Pleiades is used, as the location for the Batavi (118590) is situated in Eastern Bavaria;98921;51.84167;5.858672
