Ref;Description;Text;type;comment;Pleiades;Lat;Lng
VII.1.3;Getae;τοῖς Γέταις;tribe;;216817;44.5;25.5
"IV.3.1;2";Lugdunum;τὸ Λούγδουνον / Αὐτὸ μὲν δὴ τὸ Λούγδουνον, ἐκτισμένον ὑπὸ λόφῳ κατὰ τὴν συμβολὴν τοῦ τε Ἄραρος τοῦ ποταμοῦ καὶ τοῦ Ῥοδανοῦ, κατέχουσι Ῥωμαῖοι.;city;;167717;45.758866;4.8194815
"IV.3.3; VII.1.5 ";Helvetii;Ἐλουήττιοι /  Ἑλουήττιοι;tribe;;177534;46.5;6.5
VII.1.5;Pannonii ;Παννονίων;tribe;;197425;46.5;15.5
VII.1.5;Norici;Νωρικοὶ;tribe;;187490;46.724573;14.4296085
"IV.3.2; 4";Aedui;τῶν Αἰδούων ἔθνος / οἱ δὲ Αἰδοῦοι / Αἰδοῦοι;tribe;;177533;46.7249565;4.388477167
IV.3.2;Cabyllinum;πόλιν ἔχον Καβυλλῖνον;city;;177485;46.783372;4.8560145
IV.3.2;Bibracte;φρούριον Βίβρακτα;city;;177473;46.9208565;4.0360565
IV.4.1;Veneti;ὧν Οὐένετοι;tribe;;138643;47.5;-3.5
VII.1.3;Cimbri;Κίμβροι;tribe;;101183;47.5;7.5
"IV.3.2; 4";Sequani;οἱ Σηκοανοί / Σηκοανοὶ;tribe;;167922;47.7018263;6.0421883
VII.1.5;Rhaeti;οἱ Ῥαιτοί;tribe;;187523;47.727498;10.326578
IV.3.4;Lingones;Λίγγονες;tribe;;177564;47.864221;5.335214
IV.3.5;Senones;Σένονες;tribe;;109337;48.1978885;3.2855855
IV.4.1;Osismii;Ὀσίσμιοι δ᾿ εἰσίν, οὓς Ὠστιμίους1 ὀνομάζει Πυθέας,;tribe;;69547;48.276532;-3.571121
"VII.1.3; 5";Hercynian Forest;ὁ Ἑρκύνιος δρυμὸς /  Ὁ δὲ Ἑρκύνιος δρυμὸς;forest;"Black Forest or forests of Hartz, woods of Westphalia and Nassau (Loeb cf. Elton, pp. 154-155); from 5 follows a larger description of this area.";123090;48.3;8.15
IV.3.4;Leuci;Λεῦκοι;tribe;;109106;48.5;5.5
IV.3.4;Tribocchi;Τρίβοκχοι;tribe;;109391;48.5;7.5
